Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanCost($),HeatingCost($),CoolingCost($),AnnualEnergy(kBtu),AnnualCost($),DeltaEnergyFromBase,DeltaCostFromBase
lowE(2)/lowE(4)-argon-BBG-45,11653689.42,2196.12,106750.59,5799.48,84.57,886.03,223.34,114746.19,1193.94,-3411.8258893399325,-139.2360890069017
lowE(2)/lowE(4)-argon-BBG-60,7172519.43,2155.61,106358.03,5442.26,83.01,882.77,209.58,113955.9,1175.36,-4202.115889339941,-157.81608900690185
lowE(2)/lowE(4)-argon-BBG-75,1837122.38,2103.99,106782.37,4835.18,81.02,886.29,186.2,113721.53,1153.52,-4436.485889339936,-179.65608900690177
lowE(2)/lowE(4)-argon-BBG0,4673042.17,2270.34,112591.79,5636.13,87.43,934.51,217.04,120498.26,1238.99,2340.24411066006,-94.18608900690174
lowE(2)/lowE(4)-argon-BBG15,2864384.59,2255.11,112908.74,5427.68,86.84,937.14,209.02,120591.53,1233.0,2433.514110660064,-100.17608900690175
lowE(2)/lowE(4)-argon-BBG30,1574827.26,2216.52,111734.79,5214.48,85.36,927.4,200.81,119165.79,1213.56,1007.7741106600588,-119.6160890069018
lowE(2)/lowE(4)-argon-BBG45,904318.62,2169.81,110168.86,4978.47,83.56,914.4,191.72,117317.15,1189.68,-840.8658893399406,-143.49608900690168
lowE(2)/lowE(4)-argon-BBG60,487944.15,2124.0,108767.36,4724.36,81.79,902.77,181.93,115615.72,1166.5,-2542.2958893399336,-166.67608900690175
lowE(2)/lowE(4)-argon-BBG75,208198.04,2085.27,107886.91,4459.42,80.3,895.46,171.73,114431.6,1147.49,-3726.415889339929,-185.68608900690174
lowE(2)/lowE(4)-argon-HTcellular,6327645.26,2136.5,101807.59,5968.01,82.28,845.0,229.83,109912.1,1157.1,-8245.915889339929,-176.07608900690184
lowE(2)/lowE(4)-argon-LTcellular,2672322.86,2032.95,101674.24,4912.24,78.29,843.9,189.17,108619.43,1111.35,-9538.585889339942,-221.82608900690184
lowE(2)/lowE(4)-argon-VB-15,8256001.13,2151.34,99886.45,6426.58,82.85,829.06,247.48,108464.36,1159.39,-9693.655889339934,-173.78608900690165
lowE(2)/lowE(4)-argon-VB-30,11758431.24,2151.56,99925.79,6422.67,82.86,829.38,247.33,108500.02,1159.57,-9657.99588933993,-173.6060890069018
lowE(2)/lowE(4)-argon-VB-45,12504263.96,2148.93,100755.47,6264.12,82.75,836.27,241.23,109168.52,1160.25,-8989.49588933993,-172.92608900690175
lowE(2)/lowE(4)-argon-VB-60,8183004.63,2139.95,102261.21,5932.35,82.41,848.77,228.45,110333.52,1159.63,-7824.495889339931,-173.54608900690164
lowE(2)/lowE(4)-argon-VB-75,2540759.77,2123.43,104203.26,5450.87,81.77,864.89,209.91,111777.56,1156.57,-6380.455889339937,-176.6060890069018
lowE(2)/lowE(4)-argon-VB0,5134456.21,2148.74,100386.33,6320.77,82.75,833.21,243.41,108855.85,1159.36,-9302.165889339929,-173.81608900690185
lowE(2)/lowE(4)-argon-VB15,3344783.82,2143.17,101132.39,6145.11,82.53,839.4,236.65,109420.68,1158.58,-8737.335889339942,-174.59608900690182
lowE(2)/lowE(4)-argon-VB30,1952148.69,2135.31,101979.61,5929.2,82.23,846.43,228.33,110044.11,1156.99,-8113.905889339934,-176.18608900690174
lowE(2)/lowE(4)-argon-VB45,1173662.55,2125.16,102903.17,5676.67,81.84,854.1,218.61,110705.0,1154.54,-7453.015889339935,-178.63608900690178
lowE(2)/lowE(4)-argon-VB60,649250.4,2114.52,103916.61,5403.84,81.43,862.51,208.1,111434.98,1152.04,-6723.035889339939,-181.13608900690178
lowE(2)/lowE(4)-argon-VB75,283056.91,2107.49,105079.8,5143.82,81.16,872.16,198.09,112331.11,1151.41,-5826.905889339934,-181.76608900690167
